drug_name,n_cell_lines,direction_instability,mean_pairwise_cosine,mean_rotation_angle_deg,magnitude_cv,mean_norm,frechet_variance,mean_top_gene_jaccard,moa,target,clinical_phase,p_value_population
EMF-bca1-16,9,0.6059322655200958,0.3940677344799042,66.60139465332031,0.3038971722126007,60.69689178466797,0.6812516450881958,0.1371951037976467,,,,0.0046998002584890146
purvalanol-a,8,0.6065717339515686,0.3934282660484314,66.70271301269531,0.3594494163990021,74.08036804199219,0.6673811674118042,0.13192088398873655,CDK inhibitor,CDK1|CDK2|CDK4|CDK5|CSNK1G3|RPS6KA1|SRC,Preclinical,0.004834905660377358
BRD-K10846167,8,0.6075233817100525,0.3924766182899475,65.87079620361328,0.17489741742610931,84.62387084960938,0.6820075511932373,0.1356521632186188,,,,0.004952830188679245
BRD-K40329609,8,0.6081424355506897,0.3918575644493103,66.73040008544922,0.2764213979244232,73.76480102539062,0.6689980030059814,0.12594175948921602,,,,0.005070754716981132
periplocymarin,8,0.6098277866840363,0.39017221331596375,66.8434066772461,0.2511211931705475,85.31561279296875,0.6740328073501587,0.12946788535218842,,,,0.005188679245283019
MG-132,16,0.6142092347145081,0.38579076528549194,67.11669921875,0.30800333619117737,77.50216674804688,0.7454056739807129,0.13546063845316708,proteasome inhibitor,PSMB1,Preclinical,0.0081799591002045
BRD-K08307026,13,0.6149940490722656,0.3850059509277344,67.17874908447266,0.17344507575035095,54.87098693847656,0.7313256859779358,0.14874993245242954,,,,0.00823597012066654
BRD-K28366633,9,0.6152084767818451,0.3847915232181549,67.24430847167969,0.23206093907356262,58.01919937133789,0.6946198344230652,0.1477998569660265,,,,0.005522265303724592
BRD-K44366801,8,0.6166689991950989,0.3833310008049011,67.32547760009766,0.20654788613319397,64.79824829101562,0.6821898818016052,0.13944003583728012,,,,0.005660377358490566
BRD-K61717269,13,0.6171816885471344,0.3828183114528656,67.34014892578125,0.18785150349140167,52.591487884521484,0.7340488433837891,0.1404631425952342,,,,0.00881057268722467
BRD-A40431293,8,0.6200101375579834,0.3799898624420166,67.45292663574219,0.4261520802974701,70.08122253417969,0.6876773834228516,0.1320786054571636,,,,0.00589622641509434
scriptaid,15,0.6200406849384308,0.3799593150615692,67.33885955810547,0.30746936798095703,84.88529205322266,0.7554484009742737,0.13042708604532804,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,Preclinical,0.009406952965235174
BRD-K82732294,9,0.6206093430519104,0.3793906569480896,67.59420776367188,0.20068015158176422,55.19477844238281,0.7025340795516968,0.14309315032295822,,,,0.006109740336035718
GP-42,8,0.6210470497608185,0.3789529502391815,67.48249816894531,0.135087788105011,63.7218017578125,0.6898247003555298,0.1390062817515102,,,,0.00625
doxorubicin,12,0.622808963060379,0.37719103693962097,67.54087829589844,0.34679439663887024,80.30538177490234,0.7374181747436523,0.1072634388198542,topoisomerase inhibitor,TOP2A,Launched,0.0088553624139062
BRD-A37735495,9,0.6231569647789001,0.37684303522109985,67.69071197509766,0.21914035081863403,70.50336456298828,0.7069680094718933,0.11968674439562497,,,,0.006462225355422395
ER-27319,13,0.6263559758663177,0.37364402413368225,67.68373107910156,0.3165154755115509,94.38619232177734,0.7528334259986877,0.10276718579923624,mediator release inhibitor|SYK inhibitor,SYK,Preclinical,0.010151312009193642
vorinostat,60,0.628347635269165,0.37165236473083496,67.87553405761719,0.34970563650131226,57.05678939819336,0.8331714272499084,0.13854170149392603,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9,Launched,0.008403361344537815
BRD-K08448573,9,0.6285638809204102,0.37143611907958984,67.9583511352539,0.18872278928756714,45.64515686035156,0.7179462909698486,0.13422935490250965,,,,0.0066972153683468455
BRD-A58924247,8,0.6289776265621185,0.37102237343788147,68.07975769042969,0.2091282457113266,76.28741455078125,0.7002161741256714,0.12629491364520454,,,,0.006839622641509434
mitomycin-c,13,0.6297366619110107,0.37026333808898926,68.10787963867188,0.23898501694202423,66.76112365722656,0.7548083066940308,0.11993146021769942,DNA alkylating agent|DNA synthesis inhibitor,,Launched,0.010725914575751772
BRD-K84203638,8,0.6331336200237274,0.3668663799762726,68.05115509033203,0.45287707448005676,81.49302673339844,0.7132549285888672,0.12108991351117984,,,,0.007075471698113208
NSC-632839,56,0.6335754692554474,0.3664245307445526,68.28994750976562,0.33166182041168213,60.13922882080078,0.8346635699272156,0.13132161851038404,ubiquitin specific protease inhibitor,SENP2|USP1|USP2|USP7,Preclinical,0.0111731843575419
trichostatin-a,64,0.6337376534938812,0.3662623465061188,68.2733154296875,0.29266873002052307,67.73464965820312,0.8386156558990479,0.12842974286153644,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,Phase 1,0.014005602240896359
heliomycin,8,0.636059582233429,0.36394041776657104,68.51315307617188,0.20157063007354736,52.4287109375,0.7114198207855225,0.14370439716708225,,,,0.0071933962264150945
cinobufagin,13,0.6380866467952728,0.3619133532047272,68.59789276123047,0.4185541570186615,75.83583068847656,0.7690357565879822,0.12578072544667016,,,,0.011300517142309903
BRD-K53780220,8,0.6397230923175812,0.3602769076824188,68.13207244873047,0.3164641857147217,94.26364135742188,0.7272206544876099,0.12111601665209538,,,,0.007429245283018868
SU-11652,33,0.6403718888759613,0.3596281111240387,68.7214584350586,0.44053831696510315,69.0069351196289,0.8314521312713623,0.08433016385151891,,,,0.01279317697228145
triptolide,51,0.6441908478736877,0.35580915212631226,68.96939849853516,0.4174957871437073,53.194969177246094,0.8500506281852722,0.10897975744239884,RNA polymerase inhibitor,RELA,Phase 3,0.019553072625698324
I-606061,8,0.6443322598934174,0.35566774010658264,68.64595794677734,0.2670052647590637,44.61106872558594,0.7355364561080933,0.14141250503282618,,,,0.007547169811320755
NCH-51,11,0.6444174945354462,0.35558250546455383,68.83331298828125,0.0771147608757019,66.39203643798828,0.7649158835411072,0.12509566974546124,,,,0.010659232535257461
BRD-K10361096,8,0.6451701521873474,0.3548298478126526,69.12522888183594,0.14562445878982544,47.98243713378906,0.7237356305122375,0.1177319112262184,,,,0.007783018867924528
BRD-K92317137,51,0.6452125310897827,0.3547874689102173,69.02456665039062,0.24406634271144867,62.15351486206055,0.8516354560852051,0.1279378362922472,,,,0.0223463687150838
5-iodotubercidin,14,0.6474252939224243,0.3525747060775757,68.72187805175781,0.2728772461414337,68.1261978149414,0.8070173263549805,0.11071832789078807,,,,0.012255840674071237
BIBU-1361,8,0.6499102115631104,0.35008978843688965,69.3817138671875,0.28465017676353455,46.30766677856445,0.73297119140625,0.12666235107444138,EGFR inhibitor,EGFR,Preclinical,0.008018867924528302
BRD-A47816767,8,0.6500152051448822,0.3499847948551178,69.37504577636719,0.3076472282409668,65.20256042480469,0.7332264184951782,0.1262514046284194,,,,0.008136792452830189
BRD-K37940862,8,0.650072306394577,0.349927693605423,69.15837097167969,0.4556443691253662,56.014404296875,0.7374178767204285,0.14322158056412956,,,,0.008254716981132075
SN-38,51,0.6557833850383759,0.34421661496162415,69.7202377319336,0.2722565531730652,52.612091064453125,0.8695021867752075,0.11020427072485632,topoisomerase inhibitor,TOP1,Launched,0.025139664804469275
JTC-801,7,0.657287061214447,0.342712938785553,69.7022933959961,0.43921080231666565,74.4593505859375,0.7273145914077759,0.10993492865781801,opioid receptor antagonist,OPRL1,Phase 2,0.008018190521780757
BRD-K73610817,8,0.6589753329753876,0.3410246670246124,69.73807525634766,0.3399827778339386,58.43058776855469,0.7539718747138977,0.1264165608777274,,,,0.008490566037735849
helveticoside,8,0.6596591174602509,0.34034088253974915,69.8550796508789,0.2697233259677887,65.94273376464844,0.7512598633766174,0.11199690381556247,,,,0.008608490566037736
BRD-K53932786,9,0.6597710847854614,0.3402289152145386,69.8238525390625,0.22626493871212006,54.30118942260742,0.7670655846595764,0.12197706771195754,,,,0.008694630478204676
bortezomib,51,0.6611535549163818,0.33884644508361816,70.07966613769531,0.30163976550102234,48.359352111816406,0.8795337080955505,0.11771438857524202,NFkB pathway inhibitor|proteasome inhibitor,PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA,Launched,0.027932960893854747
AG-592,13,0.6625085473060608,0.3374914526939392,70.07521057128906,0.39349377155303955,58.27937316894531,0.8111409544944763,0.12925075123597835,,,,0.013790461597395135
I-606051,8,0.6638216376304626,0.33617836236953735,70.1742172241211,0.3631335496902466,42.675357818603516,0.7554428577423096,0.1229561265198068,,,,0.008962264150943396
KU-0060648,50,0.6639832258224487,0.33601677417755127,70.23302459716797,0.24529407918453217,54.55970764160156,0.8858708143234253,0.10687129930486751,,,,0.030726256983240222
BRD-A43155244,12,0.6645219624042511,0.3354780375957489,70.1571273803711,0.1551838517189026,61.63357162475586,0.807682991027832,0.12754161620165788,,,,0.012627090849458839
JNJ-7706621,13,0.6651199758052826,0.3348800241947174,69.66436767578125,0.33030956983566284,68.62560272216797,0.8402213454246521,0.09869422733932516,CDK inhibitor,AURKA|AURKB|CDK1|CDK2,Preclinical,0.014365064163953266
KU-C104337,9,0.6653047204017639,0.3346952795982361,70.31092071533203,0.29358235001564026,50.53556823730469,0.7715981006622314,0.10280448007003637,,,,0.009282105510515804
daunorubicin,19,0.6655519008636475,0.33444809913635254,70.0848159790039,0.3391532897949219,79.01842498779297,0.8520789742469788,0.08804046845944014,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,Launched,0.01196070055531824
ixazomib,52,0.6659246981143951,0.33407530188560486,70.36610412597656,0.2934367060661316,56.15383529663086,0.8896387815475464,0.11616892042064905,proteasome inhibitor,,Launched,0.0335195530726257
BRD-K28916077,9,0.6671664416790009,0.33283355832099915,70.47371673583984,0.29222774505615234,59.40678024291992,0.7735430002212524,0.12023135755444675,,,,0.009399600516978029
BRD-K66884694,8,0.6673662960529327,0.33263370394706726,70.40994262695312,0.13473482429981232,56.25917434692383,0.7592116594314575,0.11908331288588012,,,,0.00955188679245283
KM-00927,14,0.6675675213336945,0.33243247866630554,70.1524429321289,0.2820386588573456,58.035213470458984,0.8418986201286316,0.12370014673991306,,,,0.015319800842589047
