pert_iname,n_cell_lines,cell_lines,n_total_signatures
SB-216763,59,"['A375', 'A549', 'A673', 'AGS', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",113
PI-103,59,"['A375', 'A549', 'A673', 'AGS', 'BT20', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS578T', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF10A', 'MCF7', 'MDAMB231', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKBR3', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",113
calcitriol,59,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CD34', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HL60', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",125
forskolin,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",141
PD-98059,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'HUH7', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",96
niclosamide,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",139
simvastatin,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'HUH7', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",119
AM-580,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",132
parthenolide,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HS27A', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NOMO1', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",174
tretinoin,58,"['A375', 'A549', 'A673', 'AGS', 'ASC', 'CD34', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'FIBRNPC', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HL60', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NEU', 'NKDBA', 'NPC', 'OV7', 'PC3', 'PHH', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKB', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",221
