pert_iname,n_cell_lines,cell_lines,n_total_signatures
fluoropyruvate,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",95
MW-A1-12,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
evodiamine,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
BRD-K92980438,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
RS-23597-190,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
BRD-K50776152,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",108
SJ-172550,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
SN-38,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",95
SRT-1720,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
Ro-28-1675,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",95
BRD-K52904470,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",75
isoliquiritigenin,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
cytochalasin-b,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
cytosporone-b,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
ERK-inhibitor-11E,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
BRD-K05649647,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",95
tosedostat,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",67
BRD-K59036917,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",72
BRD-K98404142,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
inhibitor-BEC,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
maraviroc,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
BX-795,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
CAM-9-027-3,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",71
BRD-K19922318,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
PAC-1,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",74
PF-3845,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
itraconazole,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",74
FGIN-1-27,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",74
BAY-K-8644-(S)-(-),51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
ASN-05257430,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",74
myriocin,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
navitoclax,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
nicardipine,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",88
Gly-Gly-PALO,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
cyanoquinoline-11,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
BRD-K41087962,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",59
PT-630,51,"['A375', 'A549', 'A673', 'AGS', 'CL34', 'CORL23', 'COV644', 'DV90', 'EFO27', 'H1299', 'HA1E', 'HCC15', 'HCC515', 'HCT116', 'HEC108', 'HEPG2', 'HT115', 'HT29', 'JHUEM2', 'LOVO', 'MCF7', 'MDST8', 'NCIH1694', 'NCIH1836', 'NCIH2073', 'NCIH508', 'NCIH596', 'NOMO1', 'OV7', 'PC3', 'PL21', 'RKO', 'RMGI', 'RMUGS', 'SKLU1', 'SKM1', 'SKMEL1', 'SKMEL28', 'SNGM', 'SNU1040', 'SNUC4', 'SNUC5', 'SW480', 'SW620', 'SW948', 'T3M10', 'THP1', 'TYKNU', 'U937', 'VCAP', 'WSUDLCL2']",95
